Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered,Local chain(s) of transmission
Australia,4,0,0,3,None
Brazil,2,0,0,2,None
Bulgaria,1,1,0,0,None
Canada,140,0,15,67,Yes
China,2422,117,110,1254,Yes
"China, Hong Kong Special Administrative Region",1488,30,109,567,Yes
"China, Taiwan",37,0,0,21,Yes
France,5,0,0,1,None
Germany,7,0,0,6,None
India,1,0,0,1,None
Indonesia,1,0,0,1,None
Italy,4,1,0,3,None
Japan,2,0,0,0,None
Kuwait,1,0,0,1,None
Malaysia,5,0,2,2,None
Mongolia,3,0,0,3,None
Philippines,2,0,1,1,None
Republic of Ireland,1,0,0,1,None
Romania,1,0,0,1,None
Singapore,192,3,19,118,Yes
South Africa,1,0,0,0,None
Spain,1,0,0,1,None
Sweden,3,0,0,2,None
Switzerland,1,0,0,1,None
Thailand,8,1,2,5,None
United Kingdom,6,0,0,6,Yes
United States,37,-2,0,NaN,Yes
Viet Nam,63,0,5,49,Yes
Total,4439,151,263,2117,
