Country/Region,Total number of case(s),Number of deaths,Local transmission
Canada,9,2,Yes
China +,NaN,NaN,
Germany,1,0,None*
Hong Kong Special Administrative Region of China,173,6,Yes
Singapore,34,0,Yes
Slovenia,1,0,None*
Spain,1,0,To be determined
Switzerland,7,0,To be determined
"Taiwan, China",4,0,Yes
Thailand,1,0,None*
United Kingdom,2,0,To be determined
United States,11,0,To be determined
Viet Nam,62,2,Yes
Total,306,10,
