Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered,Local chain(s) of transmission
Australia,4,0,0,3,None
Brazil,2,0,0,2,None
Bulgaria,1,0,0,0,None
Canada,148,2,20,87,Yes
China,3460,166,159,1332,Yes
"China, Hong Kong Special Administrative Region",1589,17,157,791,Yes
"China, Macao Special Administrative Region",1,1,0,0,None
"China, Taiwan",78,12,1,25,Yes
France,5,0,0,1,None
Germany,7,0,0,7,None
Indonesia,2,1,0,1,None
Italy,9,0,0,4,None
Japan,2,0,0,0,None
Kuwait,1,0,0,1,None
Malaysia,6,0,2,3,None
Mongolia,6,1,0,3,None
Philippines,4,0,2,1,None
Republic of Ireland,1,0,0,1,None
Republic of Korea,1,0,0,0,None
Romania,1,0,0,1,None
Singapore,201,0,24,139,Yes
South Africa,1,0,0,0,None
Spain,1,0,0,1,None
Sweden,3,0,0,2,None
Switzerland,1,0,0,1,None
Thailand,7,0,2,5,None
United Kingdom,6,0,0,6,Yes
United States,52,11,0,NaN,Yes
Viet Nam,63,0,5,53,None
Total,5663,211,372,2470,
