Country/Region,Total number of case(s),Number of deaths,Local transmission
Canada,37,3,Yes
China3,806,34,Yes
"China, Hong Kong Special Administrative Region",470,10,Yes
"China, Taiwan",10,0,Yes
France,1,0,None
Germany,4,0,None
Italy,2,0,None
Republic of Ireland,2,0,None
Romania,3,0,None
Singapore,89,2,Yes
Switzerland,3,0,None
Thailand,3,1,None
United Kingdom,3,0,None
United States,59,0,To be determined
Viet Nam,58,4,Yes
Total,1550,54,
