Country/Region,Total number of case(s),Number of deaths,Local transmission
Canada,29,3,Yes
China3,806,34,Yes
"China, Hong Kong Special Administrative Region",425,10,Yes
"China, Taiwan",10,0,Yes
France,1,0,None
Germany,4,0,None
Italy,2,0,None
Republic of Ireland,2,0,None
Romania,3,0,None
Singapore,86,2,Yes
Switzerland,2,0,None
Thailand,3,0,To be determined
United Kingdom,3,0,None
United States,51,0,To be determined
Viet Nam,58,4,Yes
Total,1485,53,
