Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered,Local chain(s) of transmission
Australia,3,3,0,3,None
Brazil,2,0,0,0,None
Canada,126,23,12,46,Yes
China,1457,25,65,1107,Yes
"China, Hong Kong Special Administrative Region 5",1297,29,65,272,Yes
"China, Taiwan",27,0,0,10,Yes
France,5,0,0,1,None
Germany,6,0,0,4,None
India,1,1,0,0,None
Indonesia,1,0,0,0,None
Italy,3,0,0,2,None
Japan,2,1,0,0,None
Kuwait,1,0,0,0,None
Malaysia,5,0,1,0,None
Mongolia,3,3,0,3,None
Philippines,1,0,0,1,None
Republic of Ireland,1,0,0,1,None
Romania,1,0,0,1,None
Singapore,167,5,15,91,Yes
South Africa,1,0,0,0,None
Spain,1,0,0,0,None
Sweden,1,0,0,0,None
Switzerland,1,0,0,1,None
Thailand,8,0,2,5,None
United Kingdom,6,0,0,3,Yes
United States,199,6,0,NaN,Yes
Viet Nam,63,0,5,46,Yes
Total,3389,96,165,1597,
