Country/Region,Total number of case(s),Number of deaths,Local transmission
Germany,2,0,None*
Canada,8,2,Yes
"China 
    +",NaN,NaN,
Singapore,23,0,Yes
Hong Kong Special Administrative Region of China,123,1,Yes
"Taiwan, China",3,0,Yes
Thailand,1,0,None*
Viet Nam,57,1,Yes
Slovenia,1,0,None*
United Kingdom,1,0,None*
Total,219,4,
